Профессиональные качества,Советуется с Вами,"Наличие четких целей, KPI",Делегирует полномочия,Дает обратную связь,Критикует в присутствии других,Благодарит за достижения,Знает о карьерных планах,Саморазвитие руководителя,Проявляет заботу о Вашем развитии,Повышает на Вас голос,Готов рекомендовать
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,Нет,Нет,Нет,"Нет, не в курсе",не знаю,"Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",Нет,У меня есть промежуточные ступени контроля,Нет,Нет,Нет,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)",Нет,нет,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Он меня в принципе не критикует,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Нет,Иногда получаю благодарности,"Нет, не в курсе",не знаю,"Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Нет
"Он, безусловно, является экспертом в моей профессиональной сфере",Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,Нет,Нет,Нет,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,Лишь изредка,Да,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Он меня в принципе не критикует,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)",Нет,нет,Нет
Он имеет высокую профессиональную подготовку,Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",нет,Да
"Он, безусловно, является экспертом в моей профессиональной сфере",Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
"Он, безусловно, является экспертом в моей профессиональной сфере","Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",нет,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Он меня в принципе не критикует,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это",не знаю,"Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Не знаю
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он имеет высокую профессиональную подготовку,Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",нет,Да
"Он, безусловно, является экспертом в моей профессиональной сфере","Да, практически по всем моим профессиональным вопросам",Да,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Он меня в принципе не критикует,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
"Он, безусловно, является экспертом в моей профессиональной сфере","Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",нет,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,Руководитель имеет постоянный контроль моих действий по самым мелким вопросам,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",да,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",Нет,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)",Нет,нет,Да
Он имеет низкую профессиональную подготовку,Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Не знаю
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,Лишь изредка,Да,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,Нет,"Нет, не в курсе",нет,Нет,нет,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,Нет,"Нет, не в курсе",нет,Нет,нет,Нет
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,Лишь изредка,Нет,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Он меня в принципе не критикует,Нет,"Нет, не в курсе",не знаю,"Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Нет
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Да, мы обсуждаем это",не знаю,"Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Нет
Он имеет низкую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,Нет,"Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",да,Да
Он имеет высокую профессиональную подготовку,Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,Нет,Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",да,Нет
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,Иногда получаю благодарности,"Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)",Нет,да,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",нет,Да
"Он, безусловно, является экспертом в моей профессиональной сфере",Нет,Нет,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Нет, не в курсе",не знаю,Нет,нет,Не знаю
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",Нет,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Нет,Иногда получаю благодарности,"Нет, не в курсе",не знаю,Нет,нет,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,Нет,Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он имеет высокую профессиональную подготовку,Нет,Нет,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Да,Нет,"Нет, не в курсе",нет,"Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
"Он, безусловно, является экспертом в моей профессиональной сфере","Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Не знаю
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он имеет низкую профессиональную подготовку,Лишь изредка,Да,Руководитель имеет постоянный контроль моих действий по самым мелким вопросам,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,"Да, практически все достижения бывают отмечены моим руководителем;","Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",да,Да
Он имеет низкую профессиональную подготовку,Лишь изредка,только по некоторой части функционала есть цели,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Он меня в принципе не критикует,"Да, практически все достижения бывают отмечены моим руководителем;","Нет, не в курсе",нет,Нет,нет,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",Нет,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Он меня в принципе не критикует,Иногда получаю благодарности,"Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Нет
Он имеет высокую профессиональную подготовку,Лишь изредка,Нет,У меня есть промежуточные ступени контроля,Нет,Да,Нет,"Нет, не в курсе",не знаю,Нет,нет,Нет
Он имеет низкую профессиональную подготовку,Лишь изредка,Да,Руководитель имеет постоянный контроль моих действий по самым мелким вопросам,Нет,Да,Иногда получаю благодарности,"Нет, не в курсе",не знаю,Нет,нет,Нет
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,Нет,Нет,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Он меня в принципе не критикует,Нет,"Нет, не в курсе",не знаю,Нет,нет,Нет
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,Нет,только по некоторой части функционала есть цели,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Да,Нет,"Нет, не в курсе",не знаю,Нет,да,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",Нет,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,"Да, практически все достижения бывают отмечены моим руководителем;","Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)",Нет,да,Нет
"Он, безусловно, является экспертом в моей профессиональной сфере","Да, практически по всем моим профессиональным вопросам",Нет,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,"Да, практически все достижения бывают отмечены моим руководителем;","Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)",Нет,да,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Нет,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Нет,Иногда получаю благодарности,"Нет, не в курсе",нет,Нет,нет,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Он меня в принципе не критикует,Иногда получаю благодарности,"Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Не знаю
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,Нет,только по некоторой части функционала есть цели,Руководитель имеет постоянный контроль моих действий по самым мелким вопросам,Нет,Да,Иногда получаю благодарности,"Да, мы обсуждаем это",не знаю,Нет,нет,Нет
Он имеет высокую профессиональную подготовку,Лишь изредка,Нет,У меня есть промежуточные ступени контроля,Нет,Да,Нет,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)",Нет,нет,Нет
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",да,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,Нет,"Да, мы обсуждаем это",не знаю,"Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,Нет,,Нет,"Да, мы обсуждаем это",не знаю,Нет,,Нет
Он имеет высокую профессиональную подготовку,Лишь изредка,только по некоторой части функционала есть цели,Руководитель имеет постоянный контроль моих действий по самым мелким вопросам,Нет,Он меня в принципе не критикует,Нет,"Нет, не в курсе",не знаю,Нет,нет,Не знаю
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Нет,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)",Нет,нет,Да
Он имеет низкую профессиональную подготовку,Нет,Нет,Руководитель имеет постоянный контроль моих действий по самым мелким вопросам,Нет,Да,Нет,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)",Нет,да,Нет
Он имеет низкую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Нет,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Он меня в принципе не критикует,Нет,"Нет, не в курсе",не знаю,Нет,нет,Нет
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Он меня в принципе не критикует,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
